year	author	title	id	lang
1894	Dohm, Hedwig (1831-1919)	Wie Frauen werden : ELTeC ausgabe	DEU063	de
1892	Christen, Ada (1839-1901)	Jungfer Mutter : ELTeC ausgabe	DEU064	de
1897	Spielhagen, Friedrich (1823-1911)	Zum Zeitvertreib : ELTeC ausgabe	DEU065	de
1897	Fontane, Theodor (1819-1898)	Der Stechlin : ELTeC ausgabe	DEU066	de
1895	Ganghofer, Ludwig (1855-1920)	Schloß Hubertus : ELTeC ausgabe	DEU067	de
1898	Spitteler, Carl (1845-1925)	Conrad : ELTeC ausgabe	DEU068	de
1888	Kretzer, Max (1854-1941)	Meister Timpe : ELTeC ausgabe	DEU069	de
1882	Fontane, Theodor (1819-1898)	Schach von Wuthenow : ELTeC ausgabe	DEU070	de
1886	Fontane, Theodor (1819-1898)	Cécile : ELTeC ausgabe	DEU071	de
1887	Raabe, Wilhelm (1831-1910)	Im alten Eisen : ELTeC ausgabe	DEU072	de
1899	Dohm, Hedwig (1831-1919)	Schicksale einer Seele : ELTeC ausgabe	DEU073	de
1889	Boy-Ed, Ida (1852-1928)	Fanny Förster : ELTeC ausgabe	DEU074	de
1896	Janitschek, Maria (1859-1927)	Ninive : ELTeC ausgabe	DEU075	de
1907	Wassermann, Jakob (1873-1934)	Caspar Hauser : ELTeC ausgabe	DEU076	de
1903	"Reventlow, Franziska Gräfin zu
               (1871-1918)"	Ellen Olestjerne : ELTeC ausgabe	DEU077	de
1919	Essig, Hermann (1878-1918)	Der Taifun : ELTeC ausgabe	DEU078	de
1910	Rilke, Rainer Maria (1875-1926)	Die Aufzeichnungen des Malte Laurids Brigge : ELTeC ausgabe	DEU079	de
1907	Keyserling, Eduard von (1855-1918)	Dumala : ELTeC ausgabe	DEU080	de
1907	May, Karl (1842-1912)	Und Friede auf Erden! : ELTeC ausgabe	DEU081	de
1915	Braun, Lily (1865-1916)	Lebenssucher : ELTeC ausgabe	DEU082	de
1913	Sack, Gustav (1885-1916)	Paralyse : ELTeC ausgabe	DEU083	de
1909	May, Karl (1842-1912)	Ardistan und Dschinnistan II : ELTeC ausgabe	DEU084	de
1914	Ganghofer, Ludwig (1855-1920)	Der Ochsenkrieg : ELTeC ausgabe	DEU085	de
1905	"Meysenbug, Malwida Freiin von
               (1861-1903)"	Himmlische und irdische Liebe : ELTeC ausgabe	DEU086	de
1902	Heyking, Elisabeth von (1861-1925)	Briefe, die ihn nicht erreichten : ELTeC ausgabe	DEU087	de
1906	Fontane, Theodor (1819-1898)	Mathilde Möhring : ELTeC ausgabe	DEU088	de
1909	Wille, Bruno (1860-1928)	Die Abendburg : ELTeC ausgabe	DEU089	de
1912	"Reventlow, Franziska Gräfin zu
               (1871-1918)"	Von Paul zu Pedro : ELTeC ausgabe	DEU090	de
1918	Schnitzler, Arthur (1862-1931)	Casanovas Heimfahrt : ELTeC ausgabe	DEU091	de
1923	Sudermann, Hermann (1857-1928)	Jons und Erdme : ELTeC ausgabe	DEU092	de
1920	Christ, Lena (1881-1920)	Madam Bäurin : ELTeC ausgabe	DEU093	de
1908	Schnitzler, Arthur (1862-1931)	Der Weg ins Freie : ELTeC ausgabe	DEU094	de
1918	Ball, Hugo (1886-1927)	Flammetti : ELTeC ausgabe	DEU095	de
1915	Meyrink, Gustav (1868-1932)	Der Golem : ELTeC ausgabe	DEU096	de
1911	Keyserling, Eduard von (1855-1918)	Wellen : ELTeC ausgabe	DEU097	de
1913	"Reventlow, Franziska Gräfin zu
               (1871-1918)"	Herrn Dames Aufzeichnungen : ELTeC ausgabe	DEU098	de
1914	Christ, Lena (1881-1920)	Mathias Bichler : ELTeC ausgabe	DEU099	de
NA	"Ebner-Eschenbach, Marie von
               (1830-1916)"	Agave : ELTeC ausgabe	DEU100	de
1840	Trollope, Frances Milton (1780-1863)	The Life and Adventures of Michael Armstrong : ELTeC edition	ENG18400_Trollope	en
1841	Sinclair, Catherine (1800-1864)	Modern Flirtations: or, A Month at Harrowgate : ELTeC edition	ENG18410_Sinclair	en
1844	"Tupper, Martin Farquhar
                                                  (1810-1889)."	"The Twins: A Domestic Novel : ELTeC
                                                  edition"	ENG18411_Tupper	en
1844	Disraeli, Benjamin (1804-1881)	Coningsby: or, The New Generation : ELTeC edition	ENG18440_Disraeli	en
1846	"Reynolds, George William McArthur
     (1814-1879)"	The mysteries of London : ELTeC edition	ENG18460_Reynolds	en
1847	Aguilar, Grace (1816-1847)	Home Influence: A Tale for Mothers and Daughters : ELTeC edition	ENG18470_Aguilar	en
1847	Brontë, Emily (1818-1848)	Wuthering Heights : ELTeC edition	ENG18471_Bronte	en
1848	Thackeray, William Makepeace (1811-1863)	Vanity Fair: A Novel without a Hero: ELTeC edition	ENG18480_Thackeray	en
