"Barvinok_SkoshenyiTsvit" "Cherniavskyi_VaeVictis" "Fedkovych_Farmazony" "Franko_BoaConstrictor" "Franko_PerekhresniStezhky" "Franko_ZakharBerkut" "Hrinchenko_BratNaBrata" "Hrinchenko_PidTykhymyVerbamy" "Hrinchenko_SeredTemnoiNochi" "Iatskiv_Blyskavytsi" "Kashchenko_BortsiZaPravdu" "Kashchenko_PidKorsunem" "Kashchenko_ZDnipraNaDunai" "Khotkevych_KaminnaDushia" "Kobylianska_Liudyna" "Kobylianska_VNediliuRanoZilliaKopala" "Kobylianska_Zemlia" "Konyskyi_BabaIavdokha" "Konyskyi_KhvoraDusha" "Konyskyi_SemenZhuk" "Koroliv_Chmelyk" "Kotsiubynskyi_TiniZabutykhPredkiv" "Krymskyi_NePorozumiiutsia" "Kulish_ChornaRada" "KulishBilozerska_NeBuloZmalku" "Kvitka_KonotopskaVidma" "Kvitka_KozyrDivka" "Kvitka_SerdeshnaOksana" "Levytskyi_HetmanIvanVyhovskyi" "Makovei_KlopotySavchykhy" "Martovych_Zabobon" "Mordovets_DviDoli" "Myrnyi_Durnytsia" "Myrnyi_KhibaRevutVoly" "Myrnyi_LykhyiPoputav" "Nazaruk_KniazYaroslavOsmomysl" "Pchilka_Tovaryshky" "Romanova_Akula" "Storozhenko_MarkoProkliatyi" "Teslenko_StracheneZhyttie" "Ukrainka_NadMorem" "Ukrainka_Pryiazn" "Ukrainka_Zhal" "Vorobkevych_MestChornohortsia" "Vovchok_DeviatBrativ" "Vovchok_Instytutka" "Vovchok_Kozachka" "Vovchok_VidSebeNeVtechesh" "Vynnychenko_ZapyskyKyrpatohoMefistofelia"
"Barvinok_SkoshenyiTsvit" 0 0.924076435677282 1.25414200220486 0.898086542408359 0.735233226445593 0.692259153420224 0.958907919848627 0.97976715490986 0.905935250413847 0.928872364216197 0.944111731758111 0.994357520220498 1.02050547628415 0.846945707451339 0.82101886412864 0.852453760590607 0.886356637542046 1.07397731325599 1.21727617941227 0.881369551682848 1.02068642765697 0.90878907807615 0.955383019067767 1.04143646335344 1.08044838114288 1.23218513502811 1.1460499404039 1.17897760670166 1.01011836420849 1.10171096870821 0.903385441049851 0.912835306002731 1.10665290145236 0.834958327967108 1.27887958991002 0.742144998229906 0.886750412569911 1.01701062508765 0.864542474882538 1.15974314505323 0.912392041374222 0.750448068493998 0.919642446734322 1.04436515575175 1.00323173140761 1.17654025713396 1.11224256030874 1.16323587621029 1.08104270254848
"Cherniavskyi_VaeVictis" 0.924076435677282 0 1.23414687847301 0.91343324080068 0.838637207341899 0.864063124258189 0.751738850404343 0.962931804125413 0.68048612794971 1.20689043381049 0.880137927711924 0.86376851507206 1.00928478496477 0.870011092809579 1.08409025037545 1.04604418980512 0.8874546598799 1.19848614842395 1.25472836949242 0.896661455532335 0.989819378639481 0.975694175739885 0.913154075560748 1.05016162172263 1.16606106842195 1.26008610384699 1.10735335708253 1.40991599616366 1.10786952022226 1.14104583197585 1.11895253409088 0.861210514126652 1.12796513303241 0.785688911479705 1.33602210225776 0.909511035346736 0.931583831729559 1.09268712188858 0.884574307803068 1.18905805004116 1.09693307886226 1.08525157189823 1.02542291504735 0.960783206131946 0.945807720315637 1.23253647336169 1.15937772568514 1.1498887190599 1.07280188166585
"Fedkovych_Farmazony" 1.25414200220486 1.23414687847301 0 1.28128785992243 1.13430456141892 1.19589516914122 1.28952558901724 1.28677752573353 1.28366505180139 1.31202042501869 1.30826243126475 1.36294615808263 1.35029489255495 1.07582988740676 1.35538374353483 1.42617605806419 1.27568033904203 1.42531402185601 1.46335809577048 1.16888663970143 1.24757569118779 1.40419387747501 1.39248721716239 1.12057770467789 1.32408585821393 1.20815751303507 1.11288874479254 1.34088874451939 1.41227879532117 1.09864747874528 1.2318329707976 1.10593294831216 1.13400882841224 1.17361328738688 1.35014129302309 1.2223019553701 1.22720689331483 1.48483720002646 1.05311528259293 1.43768200236775 1.34990744913245 1.2116221656804 1.23007041205238 1.14870057134216 1.19041509756871 1.31683580961167 1.26604208482247 1.46329036448039 1.5443901218379
"Franko_BoaConstrictor" 0.898086542408359 0.91343324080068 1.28128785992243 0 0.773078414017982 0.764479298728163 1.04575287962233 1.17738308043739 1.06585509796063 1.07400208585235 1.04547934660346 1.10488316863375 1.03150891933705 0.893647722169964 0.977415790842906 0.934459085072124 0.868161149797499 1.35455624985828 1.37650015434428 1.14331644083922 1.12854979093289 0.766031872485333 1.18049528253786 1.24380068135864 1.28479714921927 1.36205044578917 1.33639860969024 1.58144133811175 1.24486841121836 1.24224816723922 1.00567487534096 0.89879931753097 1.38354627242653 0.998303188538815 1.46582347639252 0.676758873066205 1.09275001460364 1.23147312498701 1.0702348888117 1.41182314853013 1.05278244597647 1.04752368488481 1.13093419760732 0.986401888289659 1.13481714057277 1.46823066758611 1.48902626562124 1.31851129630461 1.33230211949933
"Franko_PerekhresniStezhky" 0.735233226445593 0.838637207341899 1.13430456141892 0.773078414017982 0 0.661692576067341 0.928057619460972 0.989143248706463 0.919174418197612 0.864859427738735 0.950226549423164 0.951888303675765 1.08408638713391 0.75360336880323 0.680427074265113 0.952982860684297 0.734809841652399 1.02521327525257 1.24226721926941 0.752235978949787 0.929585346564343 0.903993647249917 0.922645846231368 1.04060558799865 1.18669470384178 1.2786433047309 1.19596866658338 1.33081741443204 1.12585110422324 1.01734221199235 0.862965613511001 0.909481737829929 0.978461988322674 0.936542862864966 1.33888432713986 0.716373541860303 0.827122946957501 0.966975567833585 0.938943172336917 1.2269352145945 0.820805398458031 0.946685582707211 0.895717837833738 0.997589779827137 1.04291534227854 1.20371500045141 1.21174411415228 1.17503523120152 0.98172759711006
"Franko_ZakharBerkut" 0.692259153420224 0.864063124258189 1.19589516914122 0.764479298728163 0.661692576067341 0 0.931859566740687 1.08157295898891 0.937521713293004 0.879794365068567 0.846188979226199 0.873815414134651 0.964786651398514 0.830735109872252 0.843891403686601 0.939570384674165 0.813044697506653 1.11365167211192 1.21994805675984 0.838680800906854 1.02781777135938 0.893788094098275 1.08878694746609 0.968731958113924 1.16328125255691 1.33398314914294 1.28093114122861 1.38233615817579 0.982769708272827 1.21700111203598 0.972234084686454 0.841943675545633 1.19384279147567 0.866457317824762 1.3297470084922 0.640866030171867 1.06628512610271 1.09400386656416 0.882124792815408 1.23348123076853 0.96783773576166 1.00958861722936 1.09055488793465 0.847500416602066 1.07998806685212 1.24496942356905 1.18732625303222 1.29891602712523 1.1385153751038
"Hrinchenko_BratNaBrata" 0.958907919848627 0.751738850404343 1.28952558901724 1.04575287962233 0.928057619460972 0.931859566740687 0 0.831088878217621 0.639974049264805 1.21372600707019 0.970441527537771 0.979070627398006 0.949048443243069 0.929815370556026 1.15917982349948 1.17840687940528 1.05507089588956 1.12222437266001 1.20281092942441 0.979287867727603 0.971356886386938 0.953078187638408 1.07194298431849 1.02755625051218 1.19324510232347 1.35198905555953 1.19321062683092 1.44364093549309 1.14097688963636 1.19377525314563 1.12239695394943 0.953300804260396 1.09701861026454 0.813249825587882 1.26776264291119 1.00300148174221 0.890421586944633 1.08401430712906 0.885396313394893 1.14197037877737 1.04389753661458 1.0372922724453 1.03666677992582 1.10073460411376 1.04445504303383 1.19458125552173 1.13659126719657 1.2754751642786 1.02941292983787
"Hrinchenko_PidTykhymyVerbamy" 0.97976715490986 0.962931804125413 1.28677752573353 1.17738308043739 0.989143248706463 1.08157295898891 0.831088878217621 0 0.492471892190855 1.38525359453444 1.03574215240216 0.985693484459006 1.16233827068621 0.982180783172947 1.13857944735886 1.18107900054692 1.00000323494768 0.995943182700808 1.11148607480227 0.948023706679 1.07745708449137 1.26764115180777 0.998905942762997 0.860837226483804 1.13628149579413 1.15778200217923 0.921272034272979 1.22244346715685 1.33287139869992 0.929293751823737 0.956860362213117 1.07696417431633 0.933181757104552 0.766764377094507 1.10691061809583 1.07665514873518 0.922692272253099 1.19158038090889 0.967357802575249 1.12493753147924 1.25454992080449 0.970174290742013 0.967657471108695 1.27593047125117 1.06114866221668 0.944895932270037 1.01325907136733 1.04920657982673 1.18052391907455
"Hrinchenko_SeredTemnoiNochi" 0.905935250413847 0.68048612794971 1.28366505180139 1.06585509796063 0.919174418197612 0.937521713293004 0.639974049264805 0.492471892190855 0 1.24716150824694 0.869197202818988 0.875470753813897 1.00780578258755 0.870232627009417 1.06460700407568 1.06141602235504 0.86823193890384 0.991779200983211 1.02122391074275 0.898036433035293 0.962067328704248 1.09235392678156 0.884847617207517 0.883111116079724 1.09280098584118 1.13832861930191 0.953856035279338 1.2430189206643 1.15654118919804 0.901131265533428 0.863263203836245 1.00223095786978 1.00822751288198 0.661683547736807 1.1445612758323 0.91874648614173 0.882229261190889 1.13406621359294 0.907330717811237 1.01638638055003 1.15285962745481 0.857610008551716 0.948832366758662 1.16921435392096 0.99322696403728 1.01290119767467 1.02746232782989 1.03648334054721 1.05526238255236
"Iatskiv_Blyskavytsi" 0.928872364216197 1.20689043381049 1.31202042501869 1.07400208585235 0.864859427738735 0.879794365068567 1.21372600707019 1.38525359453444 1.24716150824694 0 1.20697790608242 1.20982642844269 1.28316879684119 1.07007049085449 0.867199263393805 0.930130496386715 0.950550903993645 1.13462664903979 1.40429344863162 1.02571923211102 1.15425903945873 1.02094021232039 1.21423759164385 1.19031620224709 1.39908044019484 1.54605402590657 1.48327910434878 1.38639358114696 1.21390368911825 1.35604992733091 1.08640895060151 1.22609339401399 1.30061560132533 1.23236741069649 1.49292062225047 0.898843823851808 1.16565260046246 1.08735167378114 1.21232907788055 1.51795605443356 0.926882124442653 1.1279058521929 1.04068540352896 1.21714758755481 1.30026880650932 1.32642572118228 1.3637709227518 1.36018717498215 1.06744932437255
