"Barvinok_SkoshenyiTsvit" "Cherniavskyi_VaeVictis" "Fedkovych_Farmazony" "Franko_BoaConstrictor" "Franko_PerekhresniStezhky" "Franko_ZakharBerkut" "Hrinchenko_BratNaBrata" "Hrinchenko_PidTykhymyVerbamy" "Hrinchenko_SeredTemnoiNochi" "Iatskiv_Blyskavytsi" "Kashchenko_BortsiZaPravdu" "Kashchenko_PidKorsunem" "Kashchenko_ZDnipraNaDunai" "Khotkevych_KaminnaDushia" "Kobylianska_Liudyna" "Kobylianska_VNediliuRanoZilliaKopala" "Kobylianska_Zemlia" "Konyskyi_BabaIavdokha" "Konyskyi_KhvoraDusha" "Konyskyi_SemenZhuk" "Koroliv_Chmelyk" "Kotsiubynskyi_TiniZabutykhPredkiv" "Krymskyi_NePorozumiiutsia" "Kulish_ChornaRada" "KulishBilozerska_NeBuloZmalku" "Kvitka_KonotopskaVidma" "Kvitka_KozyrDivka" "Kvitka_SerdeshnaOksana" "Levytskyi_HetmanIvanVyhovskyi" "Makovei_KlopotySavchykhy" "Martovych_Zabobon" "Mordovets_DviDoli" "Myrnyi_Durnytsia" "Myrnyi_KhibaRevutVoly" "Myrnyi_LykhyiPoputav" "Nazaruk_KniazYaroslavOsmomysl" "Pchilka_Tovaryshky" "Romanova_Akula" "Storozhenko_MarkoProkliatyi" "Teslenko_StracheneZhyttie" "Ukrainka_NadMorem" "Ukrainka_Pryiazn" "Ukrainka_Zhal" "Vorobkevych_MestChornohortsia" "Vovchok_DeviatBrativ" "Vovchok_Instytutka" "Vovchok_Kozachka" "Vovchok_VidSebeNeVtechesh" "Vynnychenko_ZapyskyKyrpatohoMefistofelia"
"Barvinok_SkoshenyiTsvit" 0 1.0031954805278 1.2433476027577 0.928071399191202 0.766761894162117 0.744253219244571 1.07455542787382 1.00990079316026 1.00646220515137 0.916187466999684 0.941620261505166 0.962680594866892 1.08679886968581 0.818693223557721 0.803474126147581 0.943721716451303 0.974366180345954 1.10034191692514 1.21290570782359 0.905665272076465 0.978960543982156 0.916023667759164 1.03010531778736 1.03451847804729 1.09405158393428 1.20839391811203 1.17294725994216 1.11228385027159 1.01678714666433 1.12001023296799 0.92350252037921 0.855445622813822 1.09742675939557 0.885659179760221 1.15735884420321 0.822861657828264 0.923970760926678 0.995932244384135 0.90412247626253 1.30264641398025 0.976339557483257 0.870838717735157 0.934172140503954 1.01995181101205 1.04026641046158 1.19412251710183 1.1449923638777 1.09658765312585 1.04281076719077
"Cherniavskyi_VaeVictis" 1.0031954805278 0 1.27956745185033 0.936253666513586 0.872396139467643 0.915699657541635 0.828889694385445 0.927579198636825 0.754478274872026 1.15843956458444 0.990106132564212 0.892978944037049 1.06616674574829 0.894135862655102 1.05586854166466 1.11690449956087 0.962122224381305 1.13528466454036 1.24106122419634 0.922358785880812 0.992851937989513 1.00880121739193 0.904178496699871 1.00202174846883 1.18051204020119 1.15923439440131 1.04737359322466 1.23330681747711 1.08173092204402 1.17269080216688 1.05223730634035 0.885932812317469 1.03933663391562 0.793138031523797 1.23689412148335 1.05564524369379 0.970210890170846 1.12266344033468 0.904143030927378 1.21786044041716 1.09975494653185 1.05736060795141 1.07691614287539 1.03062032735524 1.01010440732648 1.16899745342167 1.23943416758452 1.14926696003163 1.02092430291154
"Fedkovych_Farmazony" 1.2433476027577 1.27956745185033 0 1.24557620344591 1.07070958556207 1.13752948091993 1.28277765291421 1.21817404182175 1.25783815047895 1.21229606642912 1.31317749699386 1.32272076984373 1.3330862223044 1.04026593432718 1.26841792932946 1.39561614055424 1.25949734430464 1.37507972833377 1.42992119654909 1.21217402299405 1.17467151835992 1.35611639301619 1.34551852652605 1.14781019456961 1.44637039175132 1.27480020598394 1.14642237579829 1.36652955739721 1.3577943539803 1.14513333581882 1.14705383286823 1.12519814437885 1.22624557751461 1.2012712557054 1.37244494024939 1.25415508739855 1.24440494015244 1.45581855357516 1.14633883852608 1.54674264256886 1.27430842805742 1.24512330474202 1.22753608316013 1.16774923931 1.23820639621319 1.32727197810234 1.31655477643894 1.45889713163642 1.42477194852367
"Franko_BoaConstrictor" 0.928071399191202 0.936253666513586 1.24557620344591 0 0.740959917025259 0.816841634956533 0.977083250518108 1.07506416069637 0.985945053928248 0.949691533903445 1.00480860355459 0.978658718644313 1.01225018992621 0.823077474610598 0.904298264738249 0.945532102685112 0.861619694419015 1.23937259478518 1.38517641469062 1.07295502645246 0.989490977749009 0.821276543205953 1.05904242197651 1.11394066287617 1.27264485515871 1.25878454421174 1.19814221821615 1.35544259934634 1.11561357037174 1.18066012034359 0.903701691846907 0.862916454403898 1.21795314970886 0.949658641663376 1.3391180824936 0.720166572554774 1.01364959521681 1.19061891934169 1.04816864008116 1.35338611348737 1.06173373487687 0.97335086619002 1.04532964736958 0.996911947192054 1.10607634538271 1.35228682760666 1.38667957553607 1.23131433053671 1.12488546901835
"Franko_PerekhresniStezhky" 0.766761894162117 0.872396139467643 1.07070958556207 0.740959917025259 0 0.676163491139482 0.950826283091623 0.971394094654971 0.916391128686476 0.799411775816843 0.943799615809513 0.925158421912381 1.06590945211709 0.725122830696625 0.717158160107299 0.986971124943809 0.818188405300943 1.0784327944645 1.24514250019562 0.794124139452128 0.842599127859367 0.900853755782429 0.895363042533722 0.960735536641225 1.17059412888526 1.1227991599485 1.06337597041614 1.21692837981977 1.05237569819921 1.03631256457593 0.793594534942898 0.841611088086015 0.942001305943064 0.897308326933889 1.23184927344582 0.804135628292216 0.804168439740841 0.994440803557534 0.942235838291747 1.30873241445075 0.828758637262913 0.883344376956519 0.852005699543243 1.0219772864237 1.05382305966709 1.1015826862408 1.20565431648684 1.11755558789993 0.915481160960005
"Franko_ZakharBerkut" 0.744253219244571 0.915699657541635 1.13752948091993 0.816841634956533 0.676163491139482 0 0.975794098125959 1.08881273182963 0.986910894110282 0.939846045566119 0.830683753882346 0.88115941154103 0.983911880151108 0.838742738396826 0.875823987158229 0.959116115489957 0.916750976530648 1.17176829656075 1.29565292340358 0.917874900152522 1.00992356199069 0.935495073947083 1.06445247105814 0.937309075202246 1.19237592070317 1.22689974280375 1.18586086040713 1.26987781242617 0.960919231450495 1.24159712420142 0.951231151097502 0.777938509209735 1.11503023847876 0.889707207625921 1.29926890978603 0.743555058620891 1.02136495185178 1.16573731273029 0.884219765411342 1.32358225650676 1.02452522104634 1.00698449332832 1.09747647111141 0.894731417675208 1.08396905379779 1.24328835302643 1.20194200269144 1.23245318390139 1.10699798756968
"Hrinchenko_BratNaBrata" 1.07455542787382 0.828889694385445 1.28277765291421 0.977083250518108 0.950826283091623 0.975794098125959 0 0.831807389456277 0.707824657838671 1.12971930054344 0.983092691269417 0.948636483689953 0.960322675543742 0.957877470243854 1.18370023221596 1.2410079925652 1.06656320041159 1.10150847261314 1.31982316736834 0.957085446648108 0.941788956077463 1.00018268496515 1.02708779851707 1.04624103417879 1.24753425953535 1.29652357279396 1.14548338359252 1.30368953318323 1.12377043750605 1.22826036322692 1.06916606031123 0.93684019207457 1.06304115938312 0.808525498647632 1.19173289790644 1.07572003943507 0.935520931506955 1.13297319873826 0.926666163627521 1.21397522176629 1.07488808724019 1.02595438757803 1.04534253494423 1.12011021481223 1.08088748567117 1.21839519943978 1.24000247997532 1.27898454653678 1.00948604591809
"Hrinchenko_PidTykhymyVerbamy" 1.00990079316026 0.927579198636825 1.21817404182175 1.07506416069637 0.971394094654971 1.08881273182963 0.831807389456277 0 0.514720182538159 1.23202356580616 1.09463306626043 0.982875888590721 1.11798956479832 0.928477521288984 1.07634189793423 1.18280491868217 1.02170910107624 0.941142658253596 1.13184509087889 0.876995167147933 0.98029889749853 1.16863037777542 0.979719558291129 0.895958901184537 1.12395264531656 1.10411686622478 0.948373569769204 1.10758452044875 1.20317044858518 0.973350639304078 0.955063841255453 0.979968818960848 0.905013671023987 0.752032942652596 1.01926109860729 1.12353265304286 0.929241264715422 1.13881335683223 0.955955339455668 1.14176123110929 1.15614808111459 0.936471431053736 0.958378583404877 1.20178328315763 1.02526092629024 1.01364098169591 1.0527140536814 1.04308100766969 1.05347188167023
"Hrinchenko_SeredTemnoiNochi" 1.00646220515137 0.754478274872026 1.25783815047895 0.985945053928248 0.916391128686476 0.986910894110282 0.707824657838671 0.514720182538159 0 1.17748743653434 0.935566597975534 0.862209087751101 0.979638970791978 0.871754989026824 1.06859547742919 1.12645075406857 0.970494825048276 1.00869051469414 1.15652488986856 0.866185230786172 0.924512099120725 1.0419656525883 0.898937722390602 0.908986799281822 1.1040992587493 1.10118887359536 0.939624077109348 1.15510113704508 1.08329771593243 0.970527540169759 0.896428233823996 0.938353909246991 0.953463529366046 0.729193497385212 1.09134232836888 1.00572301168806 0.90589757848355 1.13426899688921 0.936567444574112 1.09009795999861 1.0662381437224 0.891300661811193 0.987232872834923 1.13035122450746 0.986893363724688 1.06942713864122 1.08778857583504 1.06940557812382 1.00581312240623
"Iatskiv_Blyskavytsi" 0.916187466999684 1.15843956458444 1.21229606642912 0.949691533903445 0.799411775816843 0.939846045566119 1.12971930054344 1.23202356580616 1.17748743653434 0 1.17537098672882 1.15370862175275 1.25740785185309 0.908268715663527 0.790259227952637 0.967566922813035 0.924489181788362 1.12826175745488 1.35153498462928 0.997668935715751 0.96787924574978 0.968773487904506 1.08587358587977 1.13659515061101 1.31316731372425 1.36466525349945 1.31658339597474 1.24372793835829 1.14239477792504 1.23248066287848 0.960776298085551 1.08185873834818 1.20672130119997 1.12651031264636 1.3169778699761 0.925232100803367 1.0372227384001 1.01386492488091 1.11103418086067 1.46856733425897 0.881941941782612 0.992997779508042 0.941262001045223 1.14562551730872 1.20026781671974 1.2543203271904 1.31591268613874 1.27871416635993 0.904929213385382
